,name,value,Check
268,PE.openInterest,1889,FALSE
269,PE.changeinOpenInterest,359,FALSE
270,PE.pchangeinOpenInterest,23.46405229,FALSE
271,PE.totalTradedVolume,1709,FALSE
272,PE.impliedVolatility,48.11,FALSE
273,PE.lastPrice,2.75,FALSE
274,PE.change,-0.25,FALSE
275,PE.pChange,-8.333333333,FALSE
276,PE.totalBuyQuantity,44350,FALSE
277,PE.totalSellQuantity,13075,FALSE
278,PE.bidQty,2500,FALSE
279,PE.bidprice,2.7,FALSE
280,PE.askQty,200,TRUE
281,PE.askPrice,2.95,FALSE
282,PE.underlyingValue,34415.45,FALSE
283,CE.strikePrice,28200,FALSE
284,CE.expiryDate,29-Jul-21,FALSE
285,CE.underlying,BANKNIFTY,FALSE
286,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28200.00,FALSE
287,CE.openInterest,145,FALSE
288,CE.changeinOpenInterest,0,FALSE
289,CE.pchangeinOpenInterest,0,FALSE
290,CE.totalTradedVolume,2,FALSE
291,CE.impliedVolatility,59.03,FALSE
292,CE.lastPrice,6300,FALSE
293,CE.change,-1600,FALSE
294,CE.pChange,-20.25316456,FALSE
295,CE.totalBuyQuantity,5975,FALSE
296,CE.totalSellQuantity,4800,FALSE
297,CE.bidQty,250,FALSE
298,CE.bidprice,6228.25,FALSE
299,CE.askQty,1400,FALSE
300,CE.askPrice,6396.65,FALSE
301,CE.underlyingValue,34415.45,FALSE
302,strikePrice,28300,FALSE
303,expiryDate,29-Jul-21,FALSE
304,PE.strikePrice,28300,FALSE
305,PE.expiryDate,29-Jul-21,FALSE
306,PE.underlying,BANKNIFTY,FALSE
307,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28300.00,FALSE
308,PE.openInterest,0,FALSE
309,PE.changeinOpenInterest,0,FALSE
310,PE.pchangeinOpenInterest,0,FALSE
311,PE.totalTradedVolume,0,FALSE
312,PE.impliedVolatility,0,FALSE
313,PE.lastPrice,0,FALSE
314,PE.change,0,FALSE
315,PE.pChange,0,FALSE
316,PE.totalBuyQuantity,0,FALSE
317,PE.totalSellQuantity,0,FALSE
318,PE.bidQty,0,FALSE
319,PE.bidprice,0,FALSE
320,PE.askQty,0,TRUE
321,PE.askPrice,0,FALSE
322,PE.underlyingValue,34415.45,FALSE
323,CE.strikePrice,28300,FALSE
324,CE.expiryDate,29-Jul-21,FALSE
325,CE.underlying,BANKNIFTY,FALSE
326,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28300.00,FALSE
327,CE.openInterest,0,FALSE
328,CE.changeinOpenInterest,0,FALSE
329,CE.pchangeinOpenInterest,0,FALSE
330,CE.totalTradedVolume,0,FALSE
331,CE.impliedVolatility,0,FALSE
332,CE.lastPrice,0,FALSE
333,CE.change,0,FALSE
334,CE.pChange,0,FALSE
335,CE.totalBuyQuantity,4450,FALSE
336,CE.totalSellQuantity,3150,FALSE
337,CE.bidQty,1275,FALSE
338,CE.bidprice,5987.6,FALSE
339,CE.askQty,750,FALSE
340,CE.askPrice,7074.4,FALSE
341,CE.underlyingValue,34415.45,FALSE
342,strikePrice,28400,FALSE
343,expiryDate,29-Jul-21,FALSE
344,CE.strikePrice,28400,FALSE
345,CE.expiryDate,29-Jul-21,FALSE
346,CE.underlying,BANKNIFTY,FALSE
347,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28400.00,FALSE
348,CE.openInterest,0,FALSE
349,CE.changeinOpenInterest,0,FALSE
350,CE.pchangeinOpenInterest,0,FALSE
351,CE.totalTradedVolume,0,FALSE
352,CE.impliedVolatility,0,FALSE
353,CE.lastPrice,0,FALSE
354,CE.change,0,FALSE
355,CE.pChange,0,FALSE
356,CE.totalBuyQuantity,4900,FALSE
357,CE.totalSellQuantity,3150,FALSE
358,CE.bidQty,1275,FALSE
359,CE.bidprice,5890.45,FALSE
360,CE.askQty,2400,TRUE
361,CE.askPrice,6680.05,FALSE
362,CE.underlyingValue,34415.45,FALSE
363,PE.strikePrice,28400,FALSE
364,PE.expiryDate,29-Jul-21,FALSE
365,PE.underlying,BANKNIFTY,FALSE
366,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28400.00,FALSE
367,PE.openInterest,0,FALSE
368,PE.changeinOpenInterest,0,FALSE
369,PE.pchangeinOpenInterest,0,FALSE
370,PE.totalTradedVolume,0,FALSE
371,PE.impliedVolatility,0,FALSE
372,PE.lastPrice,0,FALSE
373,PE.change,0,FALSE
374,PE.pChange,0,FALSE
375,PE.totalBuyQuantity,2100,FALSE
376,PE.totalSellQuantity,0,FALSE
377,PE.bidQty,100,FALSE
378,PE.bidprice,0.3,FALSE
379,PE.askQty,0,FALSE
380,PE.askPrice,0,FALSE
381,PE.underlyingValue,34415.45,FALSE
382,strikePrice,28500,FALSE
383,expiryDate,30-Sep-21,FALSE
384,CE.strikePrice,28500,FALSE
385,CE.expiryDate,30-Sep-21,FALSE
386,CE.underlying,BANKNIFTY,FALSE
387,CE.identifier,OPTIDXBANKNIFTY30-09-2021CE28500.00,FALSE
388,CE.openInterest,0,FALSE
389,CE.changeinOpenInterest,0,FALSE
390,CE.pchangeinOpenInterest,0,FALSE
391,CE.totalTradedVolume,0,FALSE
392,CE.impliedVolatility,0,FALSE
393,CE.lastPrice,0,FALSE
394,CE.change,0,FALSE
395,CE.pChange,0,FALSE
396,CE.totalBuyQuantity,2400,FALSE
397,CE.totalSellQuantity,2400,FALSE
398,CE.bidQty,2400,FALSE
399,CE.bidprice,5422.95,FALSE
400,CE.askQty,2400,TRUE
401,CE.askPrice,7384.45,FALSE
402,CE.underlyingValue,34415.45,FALSE
403,PE.strikePrice,28500,FALSE
404,PE.expiryDate,30-Sep-21,FALSE
405,PE.underlying,BANKNIFTY,FALSE
406,PE.identifier,OPTIDXBANKNIFTY30-09-2021PE28500.00,FALSE
407,PE.openInterest,0,FALSE
408,PE.changeinOpenInterest,0,FALSE
409,PE.pchangeinOpenInterest,0,FALSE
410,PE.totalTradedVolume,0,FALSE
411,PE.impliedVolatility,0,FALSE
412,PE.lastPrice,0,FALSE
413,PE.change,0,FALSE
414,PE.pChange,0,FALSE
415,PE.totalBuyQuantity,2000,FALSE
416,PE.totalSellQuantity,25,FALSE
417,PE.bidQty,2000,FALSE
418,PE.bidprice,2.15,FALSE
419,PE.askQty,25,FALSE
420,PE.askPrice,299,FALSE
421,PE.underlyingValue,34415.45,FALSE
422,strikePrice,28500,FALSE
423,expiryDate,29-Jul-21,FALSE
424,PE.strikePrice,28500,FALSE
425,PE.expiryDate,29-Jul-21,FALSE
426,PE.underlying,BANKNIFTY,FALSE
427,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28500.00,FALSE
428,PE.openInterest,1242,FALSE
429,PE.changeinOpenInterest,-138,FALSE
430,PE.pchangeinOpenInterest,-10,FALSE
431,PE.totalTradedVolume,1083,FALSE
432,PE.impliedVolatility,46.39,FALSE
433,PE.lastPrice,3.1,FALSE
434,PE.change,-0.05,FALSE
435,PE.pChange,-1.587301587,FALSE
436,PE.totalBuyQuantity,40675,FALSE
437,PE.totalSellQuantity,8275,FALSE
438,PE.bidQty,25,FALSE
439,PE.bidprice,3.25,FALSE
440,PE.askQty,25,TRUE
441,PE.askPrice,4.35,FALSE
442,PE.underlyingValue,34415.45,FALSE
443,CE.strikePrice,28500,FALSE
444,CE.expiryDate,29-Jul-21,FALSE
445,CE.underlying,BANKNIFTY,FALSE
446,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28500.00,FALSE
447,CE.openInterest,432,FALSE
448,CE.changeinOpenInterest,3,FALSE
449,CE.pchangeinOpenInterest,0.699300699,FALSE
450,CE.totalTradedVolume,38,FALSE
451,CE.impliedVolatility,0,FALSE
452,CE.lastPrice,5950,FALSE
453,CE.change,-590,FALSE
454,CE.pChange,-9.021406728,FALSE
455,CE.totalBuyQuantity,6300,FALSE
456,CE.totalSellQuantity,5875,FALSE
457,CE.bidQty,25,FALSE
458,CE.bidprice,5960.9,FALSE
459,CE.askQty,125,FALSE
460,CE.askPrice,6007.8,FALSE
461,CE.underlyingValue,34415.45,FALSE
462,strikePrice,28600,FALSE
463,expiryDate,29-Jul-21,FALSE
464,PE.strikePrice,28600,FALSE
465,PE.expiryDate,29-Jul-21,FALSE
466,PE.underlying,BANKNIFTY,FALSE
467,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28600.00,FALSE
468,PE.openInterest,0,FALSE
469,PE.changeinOpenInterest,0,FALSE
470,PE.pchangeinOpenInterest,0,FALSE
471,PE.totalTradedVolume,0,FALSE
472,PE.impliedVolatility,0,FALSE
473,PE.lastPrice,0,FALSE
474,PE.change,0,FALSE
475,PE.pChange,0,FALSE
476,PE.totalBuyQuantity,2100,FALSE
477,PE.totalSellQuantity,0,FALSE
478,PE.bidQty,100,FALSE
479,PE.bidprice,0.3,FALSE
480,PE.askQty,0,TRUE
481,PE.askPrice,0,FALSE
482,PE.underlyingValue,34415.45,FALSE
483,CE.strikePrice,28600,FALSE
484,CE.expiryDate,29-Jul-21,FALSE
485,CE.underlying,BANKNIFTY,FALSE
486,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28600.00,FALSE
487,CE.openInterest,0,FALSE
488,CE.changeinOpenInterest,0,FALSE
489,CE.pchangeinOpenInterest,0,FALSE
490,CE.totalTradedVolume,0,FALSE
491,CE.impliedVolatility,0,FALSE
492,CE.lastPrice,0,FALSE
493,CE.change,0,FALSE
494,CE.pChange,0,FALSE
495,CE.totalBuyQuantity,6925,FALSE
496,CE.totalSellQuantity,3150,FALSE
497,CE.bidQty,1275,FALSE
498,CE.bidprice,5694.75,FALSE
499,CE.askQty,2400,FALSE
500,CE.askPrice,6653.2,FALSE
501,CE.underlyingValue,34415.45,FALSE
502,strikePrice,28700,FALSE
503,expiryDate,29-Jul-21,FALSE
504,CE.strikePrice,28700,FALSE
505,CE.expiryDate,29-Jul-21,FALSE
506,CE.underlying,BANKNIFTY,FALSE
507,CE.identifier,OPTIDXBANKNIFTY29-07-2021CE28700.00,FALSE
508,CE.openInterest,0,FALSE
509,CE.changeinOpenInterest,0,FALSE
510,CE.pchangeinOpenInterest,0,FALSE
511,CE.totalTradedVolume,0,FALSE
512,CE.impliedVolatility,0,FALSE
513,CE.lastPrice,0,FALSE
514,CE.change,0,FALSE
515,CE.pChange,0,FALSE
516,CE.totalBuyQuantity,4650,FALSE
517,CE.totalSellQuantity,3150,FALSE
518,CE.bidQty,1275,FALSE
519,CE.bidprice,5588.75,FALSE
520,CE.askQty,2400,TRUE
521,CE.askPrice,6554.45,FALSE
522,CE.underlyingValue,34415.45,FALSE
523,PE.strikePrice,28700,FALSE
524,PE.expiryDate,29-Jul-21,FALSE
525,PE.underlying,BANKNIFTY,FALSE
526,PE.identifier,OPTIDXBANKNIFTY29-07-2021PE28700.00,FALSE
527,PE.openInterest,0,FALSE
528,PE.changeinOpenInterest,0,FALSE
529,PE.pchangeinOpenInterest,0,FALSE
530,PE.totalTradedVolume,0,FALSE
531,PE.impliedVolatility,0,FALSE
532,PE.lastPrice,0,FALSE
533,PE.change,0,FALSE
534,PE.pChange,0,FALSE
535,PE.totalBuyQuantity,2100,FALSE
536,PE.totalSellQuantity,0,FALSE
537,PE.bidQty,100,FALSE
538,PE.bidprice,0.3,FALSE
