"","date","open","high","low","close","volume","Name","pivot_point","support_1","resistance_1","support_2","resistance_2","resistance_3","support_3","price_difference","R1","R2","R3","R4","R5","S1","S2","S3","S4","S5","ema","rsi"
"1327","2011-05-30 00:00:00+05:30",10742,10823.25,10715.1,10781.45,0,"NIFTY BANK",10649.7666666667,10564.33,10808.08,10406.02,10893.52,11137.27,10162.27,243.75,10707.29,10742.88,10771.64,10800.4,10893.52,10592.24,10556.65,10527.89,10499.13,10406.02,10646.4487190382,49.8576784623475
"1328","2011-05-31 00:00:00+05:30",10828.95,11036.75,10819.45,11020.85,0,"NIFTY BANK",10773.2666666667,10723.28,10831.43,10665.12,10881.42,10989.57,10556.97,108.15,10798.79,10814.58,10827.34,10840.1,10881.42,10747.74,10731.95,10719.19,10706.43,10665.12,10714.5216792131,58.2707043981893
"1329","2011-06-01 00:00:00+05:30",11011.2,11056.4,10959.1,11033.4,0,"NIFTY BANK",10959.0166666667,10881.28,11098.58,10741.72,11176.32,11393.62,10524.42,217.299999999999,11010.3,11042.03,11067.67,11093.31,11176.32,10907.73,10876.01,10850.37,10824.73,10741.72,10772.4995557198,58.6745749518429
"1330","2011-06-02 00:00:00+05:30",10872.25,10881.4,10802.35,10839.25,0,"NIFTY BANK",11016.3,10976.2,11073.5,10919,11113.6,11210.9,10821.7,97.2999999999993,11039.26,11053.47,11064.95,11076.43,11113.6,10993.34,10979.13,10967.65,10956.17,10919,10784.6360001344,50.305660125604
"1331","2011-06-03 00:00:00+05:30",10860.25,10946.75,10751.1,10782,0,"NIFTY BANK",10841,10800.6,10879.65,10761.95,10920.05,10999.1,10682.9,79.0499999999993,10859.66,10871.2,10880.52,10889.85,10920.05,10822.34,10810.8,10801.48,10792.15,10761.95,10784.1567273827,48.059730649925
"1332","2011-06-06 00:00:00+05:30",10734.25,10873.9,10682.3,10854.65,0,"NIFTY BANK",10826.6166666667,10706.48,10902.13,10630.97,11022.27,11217.92,10435.32,195.65,10872.79,10901.35,10924.44,10947.53,11022.27,10780.44,10751.88,10728.79,10705.7,10630.97,10796.9736860404,51.1357437028546
"1333","2011-06-07 00:00:00+05:30",10799.35,10918.25,10796.15,10873.45,0,"NIFTY BANK",10803.6166666667,10733.33,10924.93,10612.02,10995.22,11186.82,10420.42,191.6,10848.83,10876.81,10899.42,10922.03,10995.22,10758.4,10730.43,10707.82,10685.21,10612.02,10810.8784703967,51.9538732550878
"1334","2011-06-08 00:00:00+05:30",10816.4,10882.3,10764.7,10791.45,0,"NIFTY BANK",10862.6166666667,10806.98,10929.08,10740.52,10984.72,11106.82,10618.42,122.1,10891.43,10909.26,10923.67,10938.07,10984.72,10833.8,10815.97,10801.57,10787.16,10740.52,10807.3460212336,48.0546367355708
"1335","2011-06-09 00:00:00+05:30",10775.45,10850.35,10734.75,10785.4,0,"NIFTY BANK",10812.8166666667,10743.33,10860.93,10695.22,10930.42,11048.02,10577.62,117.599999999999,10840.57,10857.74,10871.62,10885.49,10930.42,10785.06,10767.89,10754.02,10740.14,10695.22,10803.3558355548,47.760782405673
"1336","2011-06-10 00:00:00+05:30",10800.45,10814.85,10627.6,10714.25,0,"NIFTY BANK",10790.1666666667,10729.98,10845.58,10674.57,10905.77,11021.37,10558.97,115.6,10817.45,10834.33,10847.97,10861.61,10905.77,10762.89,10746.01,10732.37,10718.73,10674.57,10787.1547745448,44.2268380485373
"1337","2011-06-13 00:00:00+05:30",10675.3,10757.4,10616.05,10717.5,0,"NIFTY BANK",10718.9,10622.95,10810.2,10531.65,10906.15,11093.4,10344.4,187.25,10763.09,10790.43,10812.52,10834.62,10906.15,10674.71,10647.37,10625.27,10603.18,10531.65,10774.4902700821,44.4355040052883
"1338","2011-06-14 00:00:00+05:30",10737.3,10830.4,10737.3,10803.95,0,"NIFTY BANK",10696.9833333333,10636.57,10777.92,10555.63,10838.33,10979.68,10414.28,141.35,10730.34,10750.98,10767.66,10784.34,10838.33,10663.62,10642.99,10626.31,10609.63,10555.63,10779.8465846127,49.9679107267853
"1339","2011-06-15 00:00:00+05:30",10789.9,10795.85,10608.8,10626.65,0,"NIFTY BANK",10790.55,10750.7,10843.8,10697.45,10883.65,10976.75,10604.35,93.1000000000004,10812.52,10826.11,10837.1,10848.09,10883.65,10768.58,10754.99,10744,10733.01,10697.45,10751.9926601376,40.7272498153044
"1340","2011-06-16 00:00:00+05:30",10550.65,10706,10502.4,10572.15,0,"NIFTY BANK",10677.1,10558.35,10745.4,10490.05,10864.15,11051.2,10303,187.050000000001,10721.24,10748.55,10770.62,10792.7,10864.15,10632.96,10605.65,10583.58,10561.5,10490.05,10719.2939946581,38.3076548820274
"1341","2011-06-17 00:00:00+05:30",10652.85,10652.85,10548.2,10598.25,0,"NIFTY BANK",10593.5166666667,10481.03,10684.63,10389.92,10797.12,11000.72,10186.32,203.6,10641.57,10671.29,10695.32,10719.34,10797.12,10545.47,10515.74,10491.72,10467.69,10389.92,10697.2859956293,40.1981421373571
